transaction_id,date,customer_id,product_category,quantity,total_amount,high_value_order
1,2023-11-24,CUST001,Beauty,3,150,False
2,2023-02-27,CUST002,Clothing,2,1000,False
3,2023-01-13,CUST003,Electronics,1,30,False
4,2023-05-21,CUST004,Clothing,1,500,False
5,2023-05-06,CUST005,Beauty,2,100,False
6,2023-04-25,CUST006,Beauty,1,30,False
7,2023-03-13,CUST007,Clothing,2,50,False
8,2023-02-22,CUST008,Electronics,4,100,False
9,2023-12-13,CUST009,Electronics,2,600,False
10,2023-10-07,CUST010,Clothing,4,200,False
11,2023-02-14,CUST011,Clothing,2,100,False
12,2023-10-30,CUST012,Beauty,3,75,False
13,2023-08-05,CUST013,Electronics,3,1500,True
14,2023-01-17,CUST014,Clothing,4,120,False
15,2023-01-16,CUST015,Electronics,4,2000,True
16,2023-02-17,CUST016,Clothing,3,1500,True
17,2023-04-22,CUST017,Clothing,4,100,False
18,2023-04-30,CUST018,Electronics,2,50,False
19,2023-09-16,CUST019,Clothing,2,50,False
20,2023-11-05,CUST020,Clothing,3,900,False
21,2023-01-14,CUST021,Beauty,1,500,False
22,2023-10-15,CUST022,Clothing,2,100,False
23,2023-04-12,CUST023,Clothing,4,120,False
24,2023-11-29,CUST024,Clothing,1,300,False
25,2023-12-26,CUST025,Beauty,1,50,False
26,2023-10-07,CUST026,Electronics,2,1000,False
27,2023-08-03,CUST027,Beauty,2,50,False
28,2023-04-23,CUST028,Beauty,1,500,False
29,2023-08-18,CUST029,Electronics,1,30,False
30,2023-10-29,CUST030,Beauty,3,900,False
31,2023-05-23,CUST031,Electronics,4,1200,True
32,2023-01-04,CUST032,Beauty,3,90,False
33,2023-03-23,CUST033,Electronics,2,100,False
34,2023-12-24,CUST034,Clothing,3,150,False
35,2023-08-05,CUST035,Beauty,3,900,False
36,2023-06-24,CUST036,Beauty,3,900,False
37,2023-05-23,CUST037,Beauty,3,75,False
38,2023-03-21,CUST038,Beauty,4,200,False
39,2023-04-21,CUST039,Clothing,4,120,False
40,2023-06-22,CUST040,Beauty,1,50,False
41,2023-02-22,CUST041,Clothing,2,50,False
42,2023-02-17,CUST042,Clothing,3,900,False
43,2023-07-14,CUST043,Clothing,1,300,False
44,2023-02-19,CUST044,Clothing,1,25,False
45,2023-07-03,CUST045,Electronics,1,30,False
46,2023-06-26,CUST046,Electronics,4,1200,True
47,2023-11-06,CUST047,Beauty,3,1500,True
48,2023-05-16,CUST048,Electronics,3,900,False
49,2023-01-23,CUST049,Electronics,2,1000,False
50,2023-08-24,CUST050,Beauty,3,75,False
51,2023-10-02,CUST051,Beauty,3,75,False
52,2023-03-05,CUST052,Beauty,1,300,False
53,2023-07-13,CUST053,Electronics,2,100,False
54,2023-02-10,CUST054,Electronics,3,1500,True
55,2023-10-10,CUST055,Beauty,4,120,False
56,2023-05-31,CUST056,Clothing,3,900,False
57,2023-11-18,CUST057,Beauty,1,30,False
58,2023-11-13,CUST058,Clothing,4,1200,True
59,2023-07-05,CUST059,Clothing,1,50,False
60,2023-10-23,CUST060,Beauty,3,150,False
61,2023-04-09,CUST061,Beauty,4,200,False
62,2023-12-27,CUST062,Beauty,2,100,False
63,2023-02-05,CUST063,Electronics,2,50,False
64,2023-01-24,CUST064,Clothing,4,100,False
65,2023-12-05,CUST065,Electronics,4,2000,True
66,2023-04-27,CUST066,Electronics,1,30,False
67,2023-05-29,CUST067,Beauty,4,1200,True
68,2023-02-10,CUST068,Electronics,1,300,False
69,2023-04-30,CUST069,Beauty,3,75,False
70,2023-02-21,CUST070,Clothing,1,300,False
71,2023-07-14,CUST071,Beauty,4,100,False
72,2023-05-23,CUST072,Electronics,4,2000,True
73,2023-08-21,CUST073,Electronics,3,90,False
74,2023-11-22,CUST074,Beauty,4,2000,True
75,2023-07-06,CUST075,Beauty,4,200,False
76,2023-03-25,CUST076,Electronics,2,100,False
77,2023-07-09,CUST077,Clothing,2,100,False
78,2023-07-01,CUST078,Clothing,3,1500,True
79,2023-04-18,CUST079,Beauty,1,300,False
80,2023-12-10,CUST080,Clothing,2,60,False
81,2023-05-17,CUST081,Electronics,1,50,False
82,2023-12-26,CUST082,Beauty,4,200,False
83,2023-12-16,CUST083,Electronics,2,100,False
84,2023-11-28,CUST084,Electronics,3,90,False
85,2023-02-06,CUST085,Clothing,3,150,False
86,2023-11-08,CUST086,Beauty,3,90,False
87,2023-11-22,CUST087,Beauty,2,100,False
88,2023-03-29,CUST088,Clothing,1,500,False
89,2023-10-01,CUST089,Electronics,4,2000,True
90,2023-05-06,CUST090,Electronics,1,30,False
91,2023-03-25,CUST091,Electronics,1,500,False
92,2023-08-25,CUST092,Electronics,4,120,False
93,2023-07-14,CUST093,Beauty,4,2000,True
94,2023-05-19,CUST094,Beauty,2,1000,False
95,2023-11-24,CUST095,Clothing,2,60,False
96,2023-12-19,CUST096,Clothing,2,600,False
97,2023-10-13,CUST097,Beauty,2,1000,False
98,2023-04-23,CUST098,Beauty,2,100,False
99,2023-12-17,CUST099,Electronics,4,1200,True
100,2023-06-16,CUST100,Electronics,1,30,False
101,2023-01-29,CUST101,Clothing,2,600,False
102,2023-04-28,CUST102,Beauty,2,50,False
103,2023-01-17,CUST103,Clothing,1,25,False
104,2023-06-11,CUST104,Beauty,2,1000,False
105,2023-07-25,CUST105,Electronics,1,500,False
106,2023-05-18,CUST106,Clothing,1,50,False
107,2023-02-03,CUST107,Clothing,4,1200,True
108,2023-04-19,CUST108,Beauty,3,75,False
109,2023-10-18,CUST109,Electronics,4,2000,True
110,2023-06-11,CUST110,Clothing,3,900,False
111,2023-04-19,CUST111,Electronics,3,1500,True
112,2023-12-02,CUST112,Clothing,3,1500,True
113,2023-09-13,CUST113,Electronics,2,50,False
114,2023-07-22,CUST114,Beauty,4,100,False
115,2023-11-26,CUST115,Clothing,3,1500,True
116,2023-08-23,CUST116,Clothing,1,30,False
117,2023-03-15,CUST117,Electronics,2,1000,False
118,2023-05-16,CUST118,Electronics,4,2000,True
119,2023-03-13,CUST119,Clothing,3,150,False
120,2023-05-07,CUST120,Beauty,1,50,False
121,2023-10-15,CUST121,Electronics,4,200,False
122,2023-10-03,CUST122,Electronics,4,120,False
123,2023-05-15,CUST123,Electronics,2,60,False
124,2023-10-27,CUST124,Clothing,4,2000,True
125,2023-08-08,CUST125,Clothing,2,100,False
126,2023-10-26,CUST126,Clothing,3,90,False
127,2023-07-24,CUST127,Clothing,2,50,False
128,2023-07-05,CUST128,Beauty,1,500,False
129,2023-04-23,CUST129,Beauty,2,600,False
130,2023-03-12,CUST130,Clothing,1,500,False
131,2023-09-18,CUST131,Beauty,2,600,False
132,2023-09-10,CUST132,Electronics,4,200,False
133,2023-02-16,CUST133,Electronics,3,900,False
134,2023-01-25,CUST134,Electronics,1,50,False
135,2023-02-26,CUST135,Clothing,2,50,False
136,2023-03-20,CUST136,Electronics,2,600,False
137,2023-11-18,CUST137,Beauty,2,1000,False
138,2023-03-23,CUST138,Clothing,4,200,False
139,2023-12-15,CUST139,Beauty,4,2000,True
140,2023-08-05,CUST140,Electronics,1,30,False
141,2023-11-02,CUST141,Electronics,1,50,False
142,2023-02-02,CUST142,Electronics,4,1200,True
143,2023-07-17,CUST143,Clothing,1,50,False
144,2023-07-15,CUST144,Beauty,3,1500,True
145,2023-11-02,CUST145,Clothing,3,75,False
146,2023-08-28,CUST146,Clothing,4,200,False
147,2023-09-28,CUST147,Electronics,1,300,False
148,2023-05-09,CUST148,Clothing,2,60,False
149,2023-10-11,CUST149,Clothing,3,75,False
150,2023-01-06,CUST150,Electronics,4,120,False
151,2023-12-15,CUST151,Clothing,1,50,False
152,2023-02-28,CUST152,Electronics,4,2000,True
153,2023-12-16,CUST153,Electronics,2,1000,False
154,2023-10-02,CUST154,Electronics,3,900,False
155,2023-05-17,CUST155,Electronics,4,2000,True
156,2023-11-25,CUST156,Clothing,4,100,False
157,2023-06-24,CUST157,Electronics,4,2000,True
158,2023-02-27,CUST158,Electronics,2,600,False
159,2023-05-31,CUST159,Clothing,4,200,False
160,2023-08-11,CUST160,Clothing,2,100,False
161,2023-03-22,CUST161,Beauty,2,1000,False
162,2023-08-21,CUST162,Clothing,2,60,False
163,2023-01-02,CUST163,Clothing,3,150,False
164,2023-05-15,CUST164,Beauty,3,1500,True
165,2023-09-14,CUST165,Clothing,4,1200,True
166,2023-04-02,CUST166,Clothing,4,2000,True
167,2023-09-17,CUST167,Clothing,3,150,False
168,2023-02-24,CUST168,Clothing,1,300,False
169,2023-11-17,CUST169,Beauty,3,1500,True
170,2023-06-02,CUST170,Clothing,2,50,False
171,2023-11-24,CUST171,Clothing,3,900,False
172,2023-09-17,CUST172,Beauty,2,50,False
173,2023-11-08,CUST173,Electronics,4,120,False
174,2023-04-12,CUST174,Beauty,1,300,False
175,2023-03-20,CUST175,Electronics,4,100,False
176,2023-07-11,CUST176,Beauty,2,100,False
177,2023-03-24,CUST177,Beauty,2,100,False
178,2023-10-04,CUST178,Clothing,2,60,False
179,2023-09-29,CUST179,Electronics,1,300,False
180,2023-01-01,CUST180,Clothing,3,900,False
181,2023-11-03,CUST181,Electronics,4,1200,True
182,2023-06-15,CUST182,Beauty,4,120,False
183,2023-09-08,CUST183,Beauty,3,900,False
184,2023-01-10,CUST184,Electronics,4,200,False
185,2023-02-27,CUST185,Clothing,1,25,False
186,2023-07-05,CUST186,Clothing,4,200,False
187,2023-06-07,CUST187,Clothing,2,100,False
188,2023-05-03,CUST188,Clothing,3,75,False
189,2023-01-30,CUST189,Beauty,1,50,False
190,2023-05-04,CUST190,Beauty,3,90,False
191,2023-10-18,CUST191,Beauty,1,25,False
192,2023-02-10,CUST192,Beauty,2,100,False
193,2023-02-13,CUST193,Beauty,3,1500,True
194,2023-09-06,CUST194,Clothing,4,200,False
195,2023-02-05,CUST195,Clothing,1,30,False
196,2023-09-30,CUST196,Clothing,3,900,False
197,2023-03-06,CUST197,Clothing,4,200,False
198,2023-03-07,CUST198,Beauty,3,900,False
199,2023-12-04,CUST199,Beauty,3,1500,True
200,2023-09-01,CUST200,Beauty,3,150,False
201,2023-10-09,CUST201,Electronics,1,25,False
202,2023-03-26,CUST202,Clothing,4,1200,True
203,2023-05-16,CUST203,Clothing,2,1000,False
204,2023-09-28,CUST204,Beauty,1,25,False
205,2023-11-07,CUST205,Clothing,1,25,False
206,2023-08-05,CUST206,Clothing,1,25,False
207,2023-04-19,CUST207,Beauty,2,50,False
208,2023-10-04,CUST208,Electronics,4,200,False
209,2023-12-20,CUST209,Electronics,4,200,False
210,2023-04-13,CUST210,Electronics,4,200,False
211,2024-01-01,CUST211,Beauty,3,1500,True
212,2023-06-09,CUST212,Clothing,3,1500,True
213,2023-07-24,CUST213,Beauty,3,1500,True
214,2023-12-10,CUST214,Beauty,2,60,False
215,2023-11-29,CUST215,Clothing,3,1500,True
216,2023-07-11,CUST216,Electronics,2,100,False
217,2023-08-13,CUST217,Electronics,4,200,False
218,2023-09-22,CUST218,Beauty,3,90,False
219,2023-08-20,CUST219,Electronics,3,90,False
220,2023-03-03,CUST220,Beauty,1,500,False
221,2023-05-07,CUST221,Beauty,2,600,False
222,2023-04-26,CUST222,Clothing,4,120,False
223,2023-02-02,CUST223,Clothing,1,25,False
224,2023-06-23,CUST224,Clothing,1,50,False
225,2023-01-11,CUST225,Beauty,4,100,False
226,2023-10-29,CUST226,Clothing,1,50,False
227,2023-10-11,CUST227,Electronics,2,100,False
228,2023-04-28,CUST228,Electronics,2,60,False
229,2023-10-29,CUST229,Beauty,3,90,False
230,2023-04-23,CUST230,Beauty,1,25,False
231,2023-01-04,CUST231,Clothing,3,150,False
232,2023-02-06,CUST232,Beauty,1,25,False
233,2023-12-29,CUST233,Beauty,2,600,False
234,2023-11-20,CUST234,Electronics,2,50,False
235,2023-01-31,CUST235,Electronics,2,1000,False
236,2023-04-28,CUST236,Clothing,1,25,False
237,2023-02-04,CUST237,Beauty,2,1000,False
238,2023-01-17,CUST238,Beauty,1,500,False
239,2023-06-19,CUST239,Electronics,3,1500,True
240,2023-02-06,CUST240,Beauty,1,300,False
241,2023-09-21,CUST241,Electronics,3,75,False
242,2023-05-02,CUST242,Clothing,1,25,False
243,2023-05-23,CUST243,Electronics,3,900,False
244,2023-12-09,CUST244,Beauty,2,100,False
245,2023-09-06,CUST245,Clothing,3,90,False
246,2023-04-20,CUST246,Electronics,2,50,False
247,2023-10-04,CUST247,Electronics,2,60,False
248,2023-03-09,CUST248,Clothing,3,900,False
249,2023-10-20,CUST249,Clothing,1,50,False
250,2023-10-23,CUST250,Electronics,1,50,False
251,2023-08-31,CUST251,Beauty,4,200,False
252,2023-05-05,CUST252,Electronics,1,300,False
253,2023-08-31,CUST253,Clothing,4,2000,True
254,2023-07-28,CUST254,Electronics,1,500,False
255,2023-04-08,CUST255,Clothing,1,30,False
256,2023-02-18,CUST256,Clothing,2,1000,False
257,2023-02-19,CUST257,Beauty,4,2000,True
258,2023-12-04,CUST258,Clothing,1,50,False
259,2023-08-09,CUST259,Clothing,4,200,False
260,2023-07-01,CUST260,Beauty,2,60,False
261,2023-08-05,CUST261,Clothing,2,50,False
262,2023-07-30,CUST262,Beauty,4,120,False
263,2023-08-28,CUST263,Beauty,2,60,False
264,2023-01-28,CUST264,Clothing,3,900,False
265,2023-12-11,CUST265,Clothing,3,900,False
266,2023-12-01,CUST266,Electronics,2,60,False
267,2023-11-27,CUST267,Beauty,3,90,False
268,2023-02-20,CUST268,Electronics,1,30,False
269,2023-02-01,CUST269,Clothing,4,2000,True
270,2023-07-26,CUST270,Electronics,1,300,False
271,2023-06-23,CUST271,Beauty,4,120,False
272,2023-02-25,CUST272,Electronics,2,100,False
273,2023-05-08,CUST273,Beauty,1,50,False
274,2023-04-09,CUST274,Clothing,2,1000,False
275,2023-04-08,CUST275,Clothing,2,1000,False
276,2023-10-02,CUST276,Beauty,4,100,False
277,2023-08-18,CUST277,Clothing,4,100,False
278,2023-03-13,CUST278,Clothing,4,100,False
279,2023-08-05,CUST279,Clothing,1,500,False
280,2023-04-04,CUST280,Clothing,3,1500,True
281,2023-05-23,CUST281,Beauty,4,2000,True
282,2023-08-25,CUST282,Electronics,4,200,False
283,2023-05-08,CUST283,Electronics,1,500,False
284,2023-02-08,CUST284,Clothing,4,200,False
285,2023-08-15,CUST285,Electronics,1,25,False
286,2023-10-09,CUST286,Electronics,2,50,False
287,2023-02-20,CUST287,Clothing,4,100,False
288,2023-01-26,CUST288,Clothing,4,120,False
289,2023-11-30,CUST289,Electronics,2,60,False
290,2023-10-04,CUST290,Beauty,2,600,False
291,2023-01-08,CUST291,Clothing,2,600,False
292,2023-02-17,CUST292,Beauty,4,1200,True
293,2023-05-02,CUST293,Electronics,3,90,False
294,2023-03-27,CUST294,Clothing,3,90,False
295,2023-07-28,CUST295,Beauty,3,900,False
296,2023-09-06,CUST296,Clothing,4,1200,True
297,2023-09-04,CUST297,Electronics,2,1000,False
298,2023-04-20,CUST298,Beauty,4,1200,True
299,2023-07-25,CUST299,Electronics,2,1000,False
300,2023-01-31,CUST300,Electronics,4,200,False
301,2023-03-26,CUST301,Clothing,4,120,False
302,2023-07-14,CUST302,Beauty,2,600,False
303,2023-01-02,CUST303,Electronics,3,90,False
304,2023-07-19,CUST304,Electronics,2,60,False
305,2023-05-16,CUST305,Beauty,1,30,False
306,2023-08-21,CUST306,Electronics,1,50,False
307,2023-05-27,CUST307,Electronics,2,50,False
308,2023-08-05,CUST308,Beauty,4,1200,True
309,2023-12-23,CUST309,Beauty,1,25,False
310,2023-10-12,CUST310,Beauty,1,25,False
311,2023-12-05,CUST311,Beauty,4,100,False
312,2023-09-07,CUST312,Clothing,4,120,False
313,2023-03-21,CUST313,Beauty,3,1500,True
314,2023-04-08,CUST314,Clothing,4,120,False
315,2023-06-01,CUST315,Clothing,2,60,False
316,2023-04-22,CUST316,Clothing,2,50,False
317,2023-01-30,CUST317,Electronics,3,90,False
318,2023-10-24,CUST318,Clothing,1,25,False
319,2023-10-05,CUST319,Clothing,1,500,False
320,2023-02-01,CUST320,Electronics,4,1200,True
321,2023-06-10,CUST321,Electronics,2,50,False
322,2023-01-30,CUST322,Electronics,1,500,False
323,2023-01-26,CUST323,Beauty,3,900,False
324,2023-10-27,CUST324,Electronics,3,150,False
325,2023-09-02,CUST325,Electronics,2,50,False
326,2023-09-15,CUST326,Clothing,3,75,False
327,2023-09-29,CUST327,Electronics,3,150,False
328,2023-03-22,CUST328,Beauty,2,100,False
329,2023-01-30,CUST329,Electronics,4,100,False
330,2023-09-18,CUST330,Beauty,4,200,False
331,2023-02-11,CUST331,Electronics,3,90,False
332,2023-04-06,CUST332,Electronics,4,1200,True
333,2023-02-05,CUST333,Electronics,4,1200,True
334,2023-11-01,CUST334,Electronics,3,900,False
335,2023-02-04,CUST335,Beauty,4,120,False
336,2023-12-12,CUST336,Beauty,3,150,False
337,2023-05-01,CUST337,Clothing,1,500,False
338,2023-07-26,CUST338,Beauty,2,100,False
339,2023-03-03,CUST339,Electronics,2,50,False
340,2023-10-19,CUST340,Clothing,4,1200,True
341,2023-05-07,CUST341,Clothing,4,200,False
342,2023-10-24,CUST342,Clothing,4,2000,True
343,2023-11-01,CUST343,Electronics,2,50,False
344,2023-01-21,CUST344,Beauty,1,30,False
345,2023-11-14,CUST345,Electronics,1,30,False
346,2023-02-11,CUST346,Clothing,2,1000,False
347,2023-08-03,CUST347,Electronics,1,25,False
348,2023-12-03,CUST348,Electronics,2,600,False
349,2023-10-26,CUST349,Beauty,1,50,False
350,2023-10-17,CUST350,Beauty,3,75,False
351,2023-09-25,CUST351,Clothing,3,90,False
352,2023-06-11,CUST352,Electronics,2,1000,False
353,2023-05-14,CUST353,Electronics,1,500,False
354,2023-04-15,CUST354,Beauty,4,200,False
355,2023-12-09,CUST355,Electronics,1,500,False
356,2023-06-10,CUST356,Electronics,3,1500,True
357,2023-05-03,CUST357,Electronics,3,75,False
358,2023-05-16,CUST358,Beauty,1,300,False
359,2023-07-22,CUST359,Clothing,1,50,False
360,2023-03-09,CUST360,Clothing,4,100,False
361,2023-12-10,CUST361,Electronics,4,1200,True
362,2023-11-27,CUST362,Clothing,1,25,False
363,2023-06-03,CUST363,Beauty,1,25,False
364,2023-08-23,CUST364,Beauty,1,500,False
365,2023-06-11,CUST365,Clothing,1,300,False
366,2023-02-07,CUST366,Clothing,2,100,False
367,2023-01-05,CUST367,Electronics,1,50,False
368,2023-08-23,CUST368,Clothing,4,1200,True
369,2023-11-15,CUST369,Electronics,3,1500,True
370,2023-10-16,CUST370,Electronics,2,60,False
371,2023-02-21,CUST371,Beauty,1,25,False
372,2023-02-07,CUST372,Beauty,3,1500,True
373,2023-10-03,CUST373,Beauty,2,600,False
374,2023-04-20,CUST374,Beauty,3,75,False
375,2023-09-17,CUST375,Clothing,1,50,False
376,2023-05-16,CUST376,Beauty,1,30,False
377,2023-03-09,CUST377,Clothing,4,200,False
378,2023-06-28,CUST378,Beauty,1,300,False
379,2023-02-05,CUST379,Clothing,1,25,False
380,2023-05-06,CUST380,Electronics,2,600,False
381,2023-07-09,CUST381,Clothing,4,100,False
382,2023-05-26,CUST382,Clothing,2,1000,False
383,2023-03-22,CUST383,Beauty,3,90,False
384,2023-08-13,CUST384,Clothing,1,500,False
385,2023-10-06,CUST385,Electronics,3,1500,True
386,2023-12-27,CUST386,Electronics,2,600,False
387,2023-06-04,CUST387,Beauty,1,30,False
388,2023-11-10,CUST388,Electronics,1,25,False
389,2023-12-01,CUST389,Clothing,2,50,False
390,2023-09-28,CUST390,Electronics,2,100,False
391,2023-01-05,CUST391,Beauty,2,50,False
392,2023-12-08,CUST392,Clothing,2,600,False
393,2023-10-11,CUST393,Beauty,2,1000,False
394,2023-06-03,CUST394,Clothing,1,500,False
395,2023-12-06,CUST395,Electronics,2,1000,False
396,2023-02-23,CUST396,Beauty,1,30,False
397,2023-03-10,CUST397,Beauty,1,25,False
398,2023-05-16,CUST398,Clothing,2,600,False
399,2023-03-01,CUST399,Beauty,2,60,False
400,2023-02-24,CUST400,Clothing,4,200,False
401,2023-10-11,CUST401,Clothing,1,300,False
402,2023-03-21,CUST402,Clothing,2,600,False
403,2023-05-20,CUST403,Clothing,2,600,False
404,2023-05-25,CUST404,Electronics,2,1000,False
405,2023-11-06,CUST405,Clothing,4,1200,True
406,2023-04-18,CUST406,Beauty,4,100,False
407,2023-06-25,CUST407,Electronics,3,900,False
408,2023-04-15,CUST408,Beauty,1,500,False
409,2023-12-18,CUST409,Electronics,3,900,False
410,2023-11-21,CUST410,Clothing,2,100,False
411,2023-05-16,CUST411,Electronics,4,200,False
412,2023-09-16,CUST412,Electronics,4,2000,True
413,2023-09-08,CUST413,Beauty,3,75,False
414,2023-05-09,CUST414,Beauty,4,100,False
415,2023-01-27,CUST415,Clothing,2,60,False
416,2023-02-17,CUST416,Electronics,4,2000,True
417,2023-11-21,CUST417,Electronics,3,900,False
418,2023-08-05,CUST418,Electronics,2,1000,False
419,2023-05-22,CUST419,Clothing,3,90,False
420,2023-01-23,CUST420,Clothing,4,2000,True
421,2023-01-02,CUST421,Clothing,3,1500,True
422,2023-06-20,CUST422,Clothing,3,90,False
423,2023-03-08,CUST423,Clothing,1,25,False
424,2023-11-23,CUST424,Beauty,4,1200,True
425,2023-05-15,CUST425,Electronics,4,120,False
426,2023-03-24,CUST426,Electronics,3,150,False
427,2023-08-15,CUST427,Electronics,1,25,False
428,2023-10-10,CUST428,Electronics,4,200,False
429,2023-12-28,CUST429,Electronics,2,50,False
430,2023-08-07,CUST430,Electronics,3,900,False
431,2023-10-15,CUST431,Electronics,4,1200,True
432,2023-01-05,CUST432,Electronics,2,1000,False
433,2023-02-27,CUST433,Beauty,4,200,False
434,2023-02-08,CUST434,Electronics,2,50,False
435,2023-12-20,CUST435,Beauty,3,900,False
436,2023-03-18,CUST436,Clothing,4,120,False
437,2023-10-07,CUST437,Electronics,4,1200,True
438,2023-01-19,CUST438,Clothing,1,30,False
439,2023-07-09,CUST439,Clothing,3,75,False
440,2023-10-26,CUST440,Clothing,2,600,False
441,2023-10-10,CUST441,Beauty,4,1200,True
442,2023-03-17,CUST442,Clothing,4,100,False
443,2023-08-09,CUST443,Clothing,2,600,False
444,2023-03-07,CUST444,Clothing,3,90,False
445,2023-01-22,CUST445,Electronics,1,300,False
446,2023-06-07,CUST446,Electronics,1,50,False
447,2023-07-06,CUST447,Beauty,4,2000,True
448,2023-01-21,CUST448,Beauty,2,60,False
449,2023-07-03,CUST449,Electronics,4,200,False
450,2023-04-18,CUST450,Beauty,2,50,False
451,2023-12-16,CUST451,Electronics,1,30,False
452,2023-05-08,CUST452,Clothing,3,1500,True
453,2023-12-08,CUST453,Clothing,2,1000,False
454,2023-02-22,CUST454,Beauty,1,25,False
455,2023-07-01,CUST455,Electronics,4,100,False
456,2023-10-14,CUST456,Electronics,2,60,False
457,2023-07-28,CUST457,Beauty,3,900,False
458,2023-11-14,CUST458,Electronics,4,100,False
459,2023-03-21,CUST459,Clothing,4,1200,True
460,2023-05-02,CUST460,Beauty,1,50,False
461,2023-03-25,CUST461,Beauty,2,1000,False
462,2023-04-01,CUST462,Electronics,4,1200,True
463,2023-07-31,CUST463,Beauty,3,1500,True
464,2023-01-13,CUST464,Electronics,2,600,False
465,2023-04-02,CUST465,Electronics,3,150,False
466,2023-06-20,CUST466,Electronics,4,100,False
467,2023-07-30,CUST467,Electronics,3,150,False
468,2023-12-09,CUST468,Electronics,1,25,False
469,2023-05-08,CUST469,Beauty,3,75,False
470,2023-05-17,CUST470,Clothing,2,1000,False
471,2023-03-23,CUST471,Clothing,3,150,False
472,2023-12-26,CUST472,Beauty,3,900,False
473,2023-02-25,CUST473,Beauty,1,50,False
474,2023-07-15,CUST474,Clothing,3,1500,True
475,2023-01-20,CUST475,Clothing,3,75,False
476,2023-08-29,CUST476,Clothing,4,2000,True
477,2023-04-24,CUST477,Clothing,4,120,False
478,2023-04-13,CUST478,Clothing,2,60,False
479,2023-08-24,CUST479,Electronics,4,1200,True
480,2023-06-29,CUST480,Beauty,4,2000,True
481,2023-06-06,CUST481,Electronics,4,1200,True
482,2023-04-27,CUST482,Clothing,4,1200,True
483,2023-04-25,CUST483,Clothing,1,30,False
484,2023-01-13,CUST484,Clothing,4,1200,True
485,2023-12-04,CUST485,Electronics,1,30,False
486,2023-04-09,CUST486,Electronics,1,25,False
487,2023-07-24,CUST487,Clothing,4,2000,True
488,2023-06-18,CUST488,Electronics,3,900,False
489,2023-05-23,CUST489,Electronics,1,30,False
490,2023-02-05,CUST490,Clothing,3,150,False
491,2023-05-23,CUST491,Electronics,3,900,False
492,2023-06-29,CUST492,Beauty,4,100,False
493,2023-11-25,CUST493,Beauty,2,50,False
494,2023-09-18,CUST494,Beauty,4,200,False
495,2023-07-24,CUST495,Beauty,2,60,False
496,2023-12-14,CUST496,Clothing,2,600,False
497,2023-10-02,CUST497,Clothing,4,120,False
498,2023-06-19,CUST498,Clothing,4,100,False
499,2023-01-15,CUST499,Beauty,2,60,False
500,2023-03-01,CUST500,Beauty,4,100,False
